"1	20 Mar 24	11:04:00	1	0	1	0	Ct	0	1	0	0	2	2	15	0	8	0	5	0	0	0	0	0	0	1	0	4	3	0	1	3	0	0	2	0	0	0	0	0	0	0"
"2	20 Mar 24	11:05:00	1	0	1	0	Ct	0	1	0	0	5	1	1	0	0	0	8	2	0	0	0	3	1	4	0	11	4	0	1	2	0	0	0	0	0	0	0	0	0	0"
"3	20 Mar 24	11:06:00	1	0	1	0	Ct	0	1	0	0	3	1	3	0	0	0	8	1	1	0	0	5	0	1	0	1	3	0	1	5	0	0	0	0	0	0	0	0	0	0"
"4	20 Mar 24	11:07:00	1	0	1	0	Ct	0	1	0	0	0	1	3	0	0	0	12	2	0	0	0	0	1	6	0	2	3	0	3	0	1	0	1	0	0	0	0	0	0	0"
"5	20 Mar 24	11:08:00	1	0	1	0	Ct	0	1	0	0	0	1	4	0	0	0	10	0	0	0	0	4	0	3	0	5	1	0	2	0	0	0	2	0	0	0	0	0	0	0"
"6	20 Mar 24	11:09:00	1	0	1	0	Ct	0	1	0	0	0	0	4	0	0	0	2	0	0	0	0	2	1	6	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0"
"7	20 Mar 24	11:10:00	1	0	1	0	Ct	0	1	0	0	0	0	3	0	0	0	6	0	0	1	0	1	0	3	0	2	3	0	4	0	0	0	3	0	0	0	0	0	0	0"
"8	20 Mar 24	11:11:00	1	0	1	0	Ct	0	1	0	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0"
"9	20 Mar 24	11:12:00	1	0	1	0	Ct	0	1	0	0	0	0	8	0	18	0	3	2	0	0	0	2	0	0	0	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0"
"10	20 Mar 24	11:13:00	1	0	1	0	Ct	0	1	0	0	0	1	2	0	0	0	6	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0"
"11	20 Mar 24	11:14:00	1	0	1	0	Ct	0	1	0	0	0	1	8	0	3	0	6	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0"
"12	20 Mar 24	11:15:00	1	0	1	0	Ct	0	1	0	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0"
"13	20 Mar 24	11:16:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	8	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0"
"14	20 Mar 24	11:17:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	6	0	9	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0"
"15	20 Mar 24	11:18:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0"
"16	20 Mar 24	11:19:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0"
"17	20 Mar 24	11:20:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0"
"18	20 Mar 24	11:21:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0"
"19	20 Mar 24	11:22:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0"
"20	20 Mar 24	11:23:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0	0	0	7	0	0	0	0	0	0	0"
"21	20 Mar 24	11:24:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0"
"22	20 Mar 24	11:25:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0"
"23	20 Mar 24	11:26:00	1	0	1	0	Ct	0	1	0	0	0	0	2	0	12	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0"
"24	20 Mar 24	11:27:00	1	0	1	0	Ct	0	1	0	0	0	0	3	0	16	0	5	0	0	1	0	0	0	0	0	4	0	0	3	0	1	0	0	0	0	0	0	0	0	0"
"25	20 Mar 24	11:28:00	1	0	1	0	Ct	0	1	0	0	0	0	2	0	8	0	8	0	0	1	0	0	1	7	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0"
